the_geom,the_geom_webmercator,collection_date,count,test_result,etl_timestamp,objectid
,,2022-05-11,572,positive,2023-09-25 15:00:01.711959,53950
,,2020-04-14,757,negative,2023-09-25 15:00:01.711959,53951
,,2020-08-15,88,positive,2023-09-25 15:00:01.711959,53952
,,2021-12-29,5735,positive,2023-09-25 15:00:01.711959,53953
,,2021-08-18,3993,negative,2023-09-25 15:00:01.711959,53954
,,2022-09-01,1631,negative,2023-09-25 15:00:01.711959,53955
,,2020-08-05,5068,negative,2023-09-25 15:00:01.711959,53956
,,2022-05-13,3089,negative,2023-09-25 15:00:01.711959,53957
,,2022-10-01,113,positive,2023-09-25 15:00:01.711959,53958
,,2022-01-08,4707,negative,2023-09-25 15:00:01.711959,53959
,,2020-03-23,168,positive,2023-09-25 15:00:01.711959,53960
,,2021-09-09,363,positive,2023-09-25 15:00:01.711959,53961
,,2023-06-05,23,positive,2023-09-25 15:00:01.711959,53962
,,2023-02-02,1122,negative,2023-09-25 15:00:01.711959,53963
,,2021-05-08,5192,negative,2023-09-25 15:00:01.711959,53964
,,2020-12-16,699,positive,2023-09-25 15:00:01.711959,53965
,,2020-09-07,2068,negative,2023-09-25 15:00:01.711959,53966
,,2022-04-16,1497,negative,2023-09-25 15:00:01.711959,53967
,,2022-08-25,262,positive,2023-09-25 15:00:01.711959,53968
,,2020-04-23,453,positive,2023-09-25 15:00:01.711959,53969
,,2021-12-06,11515,negative,2023-09-25 15:00:01.711959,53970
,,2021-08-09,321,positive,2023-09-25 15:00:01.711959,53971
,,2021-07-27,3776,negative,2023-09-25 15:00:01.711959,53972
,,2020-05-06,1917,negative,2023-09-25 15:00:01.711959,53973
,,2022-03-30,142,positive,2023-09-25 15:00:01.711959,53974
,,2022-08-10,1921,negative,2023-09-25 15:00:01.711959,53975
,,2021-11-17,364,positive,2023-09-25 15:00:01.711959,53976
,,2020-09-26,78,positive,2023-09-25 15:00:01.711959,53977
,,2022-03-02,86,positive,2023-09-25 15:00:01.711959,53978
,,2022-07-11,481,positive,2023-09-25 15:00:01.711959,53979
,,2022-11-07,1976,negative,2023-09-25 15:00:01.711959,53980
,,2020-06-13,75,positive,2023-09-25 15:00:01.711959,53981
,,2023-08-06,37,positive,2023-09-25 15:00:01.711959,53982
,,2021-10-22,10149,negative,2023-09-25 15:00:01.711959,53983
,,2021-06-15,29,positive,2023-09-25 15:00:01.711959,53984
,,2023-08-02,121,negative,2023-09-25 15:00:01.711959,53985
,,2021-02-12,7068,negative,2023-09-25 15:00:01.711959,53986
,,2023-03-12,40,positive,2023-09-25 15:00:01.711959,53987
,,2022-03-21,4266,negative,2023-09-25 15:00:01.711959,53988
,,2021-07-02,30,positive,2023-09-25 15:00:01.711959,53989
,,2022-07-18,490,positive,2023-09-25 15:00:01.711959,53990
,,2020-05-31,61,positive,2023-09-25 15:00:01.711959,53991
,,2021-11-10,10751,negative,2023-09-25 15:00:01.711959,53992
,,2020-10-03,3672,negative,2023-09-25 15:00:01.711959,53993
,,2022-06-24,263,positive,2023-09-25 15:00:01.711959,53994
,,2022-02-19,70,positive,2023-09-25 15:00:01.711959,53995
,,2021-10-01,9154,negative,2023-09-25 15:00:01.711959,53996
,,2020-06-24,150,positive,2023-09-25 15:00:01.711959,53997
,,2022-10-23,2814,negative,2023-09-25 15:00:01.711959,53998
,,2023-08-23,63,positive,2023-09-25 15:00:01.711959,53999
,,2023-06-24,11,positive,2023-09-25 15:00:01.711959,54000
,,2023-02-15,1228,negative,2023-09-25 15:00:01.711959,54001
,,2021-05-11,11983,negative,2023-09-25 15:00:01.711959,54002
,,2021-01-14,581,positive,2023-09-25 15:00:01.711959,54003
,,2023-01-28,148,positive,2023-09-25 15:00:01.711959,54004
,,2023-06-10,103,negative,2023-09-25 15:00:01.711959,54005
,,2020-12-31,7389,negative,2023-09-25 15:00:01.711959,54006
,,2021-04-23,483,positive,2023-09-25 15:00:01.711959,54007
,,2023-06-13,8,positive,2023-09-25 15:00:01.711959,54008
,,2023-01-25,1205,negative,2023-09-25 15:00:01.711959,54009
,,2021-04-30,10167,negative,2023-09-25 15:00:01.711959,54010
,,2020-12-24,552,positive,2023-09-25 15:00:01.711959,54011
,,2022-01-08,2017,positive,2023-09-25 15:00:01.711959,54012
,,2020-03-23,476,negative,2023-09-25 15:00:01.711959,54013
,,2021-09-09,10044,negative,2023-09-25 15:00:01.711959,54014
,,2022-05-13,470,positive,2023-09-25 15:00:01.711959,54015
,,2020-08-05,196,positive,2023-09-25 15:00:01.711959,54016
,,2022-10-01,1047,negative,2023-09-25 15:00:01.711959,54017
,,2023-06-19,18,positive,2023-09-25 15:00:01.711959,54018
