OBJECTID,GEOID10,NAME10,N_VERYHIGH,YEAR,HSI_SCORE,HEI_SCORE,HVI_SCORE,Shape__Area,Shape__Length
309,42101027500,275,0,2023,1.83150084,-0.48695974,1.3817359,1040273.2734375,4868.03003367602
310,42101027600,276,0,2023,4.09851278,-0.70356211,3.03001898,1128548.91796875,4272.29680225588
311,42101027700,277,1,2023,8.4895359,2.65635627,5.90033564,926676.28515625,5019.45736144122
312,42101027800,278,0,2023,5.793403,1.07039539,4.15577353,1238000.63671875,5361.01802524405
313,42101034900,349,0,2023,-2.15961143,-0.18587325,-1.82950313,3320927.796875,8422.36182451763
314,42101035100,351,0,2023,-4.07033936,1.68730564,-3.20286636,2496773.6015625,6651.29486203353
315,42101035200,352,0,2023,-7.08847248,-0.63504011,-5.33539767,3182490.40234375,8126.76833815338
316,42101035301,353.01,0,2023,-8.4339832,-0.96991377,-6.14200512,2413661.1484375,6376.7967210898
317,42101026301,263.01,0,2023,4.12907415,-0.02371847,2.90872358,695282.72265625,3407.36068410124
318,42101000804,8.04,0,2023,-9.86140869,-2.38157148,-6.30745061,247799.65625,2119.21558106847
319,42101001202,12.02,0,2023,-10.17783072,-3.20922801,-6.59327455,525644.83984375,3121.25979558614
320,42101001201,12.01,0,2023,-10.91630523,-2.78232683,-7.23059613,594000.0625,3419.35429229329
321,42101000803,8.03,0,2023,-9.27443487,-2.33705469,-6.15555813,260353.03515625,2194.6603307206
322,42101980900,9809,0,2023,,,,34980022.6132813,40164.9614984965
323,42101002702,27.02,0,2023,-8.2804413,-1.45734148,-5.41794165,625938.94921875,3312.803683579
324,42101003002,30.02,0,2023,0.88545796,0.03512359,0.88907469,386436.41015625,2512.90141645221
325,42101003001,30.01,0,2023,-1.57387933,0.2028533,-0.5564442,385746.25390625,2510.54145619303
326,42101002802,28.02,0,2023,-5.05027021,-0.20994911,-2.91896364,617503.40625,3509.17707016628
327,42101980700,9807,0,2023,,,,12784666.921875,19411.7109798505
328,42101002701,27.01,0,2023,-2.43797057,0.13199816,-1.43445842,382815.265625,2868.79928583571
329,42101980800,9808,0,2023,,,,3700754.921875,16463.1675781973
330,42101018002,180.02,0,2023,-4.60605617,0.09470831,-2.74630753,749961.77734375,3743.99781936877
